First Name,Last Name,Email,Phone,Date of Birth,Gender
Ryan,Carter,ryan.carter@test.com,0246543210,1993-03-15,male
Lauren,Scott,lauren.scott@test.com,,1990-08-22,female
Jason,Bennett,jason.b@test.com,0247654321,1988-12-10,
Michelle,Reyes,michelle.reyes@test.com,0248765432,1995-07-04,female
Kevin,Morris,kevin.m@test.com,,1991-11-28,male
Eric,Parker,eric.parker@test.com,0240987654,1989-09-03,male
Rachel,Edwards,rachel.e@test.com,0241098765,1996-05-19,
Justin,Collins,justin.c@test.com,,1992-10-11,male
Amanda,Foster,amanda.foster@test.com,0242109876,1997-01-25,female
Brandon,Sanders,brandon.s@test.com,0243210987,1987-04-08,male
Nicole,Patterson,nicole.p@test.com,,1993-06-30,female
Steven,Hughes,steven.h@test.com,0244321098,1990-03-12,
Rebecca,Butler,rebecca.butler@test.com,0245432109,1995-12-07,female
Patrick,Russell,patrick.r@test.com,0246543219,1991-08-14,male
